M3_Public_Perf_Inter_Inter_Medium_London_England: avg_runtime=0.08117442578077316, avg_cost=3236.938232421875
M3_Public_Perf_Inter_Inter_Hard_London_England: avg_runtime=0.077028788626194, avg_cost=3185.141357421875
M3_Public_Perf_Inter_Inter_Very_Hard_London_England: avg_runtime=0.07860418409109116, avg_cost=3113.558349609375

alpha=0.026666666666666665
M3_Public_Func_Inter_Inter_Simple_Legality_Interlaken_Switzerland: avg_runtime=0.0004235600645188242, avg_cost=13.791701316833496
M3_Public_Func_Inter_Inter_Simple_Optimality_Interlaken_Switzerland: avg_runtime=0.00047670031199231744, avg_cost=13.791701316833496
M3_Public_Func_Inter_Inter_Legality_Interlaken_Switzerland: avg_runtime=0.0006167085375636816, avg_cost=557.5557861328125
M3_Public_Func_Inter_Inter_Optimality_Interlaken_Switzerland: avg_runtime=0.000663326180074364, avg_cost=557.5557861328125
M3_Public_Func_Inter_Inter_Simple_Legality_Toronto_Canada: avg_runtime=0.000358121789759025, avg_cost=13.431527137756348
M3_Public_Func_Inter_Inter_Simple_Optimality_Toronto_Canada: avg_runtime=0.0004017633618786931, avg_cost=13.431527137756348
M3_Public_Func_Inter_Inter_Legality_Toronto_Canada: avg_runtime=0.029480310156941414, avg_cost=1753.6492919921875
M3_Public_Func_Inter_Inter_Optimality_Toronto_Canada: avg_runtime=0.029753554612398148, avg_cost=1753.6492919921875
M3_Public_Func_Inter_Inter_Simple_Legality_London_England: avg_runtime=0.00043979138717986643, avg_cost=18.974651336669922
M3_Public_Func_Inter_Inter_Simple_Optimality_London_England: avg_runtime=0.00185754697304219, avg_cost=18.974651336669922
M3_Public_Func_Inter_Inter_Legality_London_England: avg_runtime=0.06476612389087677, avg_cost=3043.386474609375
M3_Public_Func_Inter_Inter_Optimality_London_England: avg_runtime=0.06734490394592285, avg_cost=3043.386474609375
M3_Public_Perf_Inter_Inter_Medium_Toronto: avg_runtime=0.02888793684542179, avg_cost=1692.4521484375
M3_Public_Perf_Inter_Inter_Hard_Toronto: avg_runtime=0.028592979535460472, avg_cost=1694.2855224609375
M3_Public_Perf_Inter_Inter_Very_Hard_Toronto: avg_runtime=0.02899179793894291, avg_cost=1694.2855224609375
M3_Public_Perf_Inter_Inter_Medium_London_England: avg_runtime=0.07749618589878082, avg_cost=3236.938232421875
M3_Public_Perf_Inter_Inter_Hard_London_England: avg_runtime=0.07371749728918076, avg_cost=3193.93798828125
M3_Public_Perf_Inter_Inter_Very_Hard_London_England: avg_runtime=0.072369284927845, avg_cost=3113.558349609375

alpha=0.028888888888888888
M3_Public_Func_Inter_Inter_Simple_Legality_Interlaken_Switzerland: avg_runtime=0.0002228691300842911, avg_cost=13.791701316833496
